title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,publishedAt,duration,categoryID
Fry Canyon - reflections of light on water onto stone in a deep slot canyon,HsEcIJQsfuo,1497,10,0,1,0,2012-05-29T23:06:11.000Z,PT5M28S,24
How to paint Reflections (Acrylic light reflections on a road),u30C1zwdJ-Q,28500,500,9,45,0,2013-03-28T18:11:57.000Z,PT5M27S,26
Reflections Piano light jazz To soothe the spirit,XdeN7l2AS08,1844,25,0,6,0,2016-04-19T05:36:55.000Z,PT45M40S,22
TELL ME ONCE AGAIN - LIGHT REFLECTIONS,Nmsc-OaQeY0,2404571,11307,462,1214,0,2010-05-22T15:23:03.000Z,PT4M20S,10
Steve and Sarah Newlin's Reflections of Light #2,nLqY_BbY6c8,5774,17,1,8,0,2009-07-09T15:37:25.000Z,PT2M42S,29
Projections & Reflections of Light,3QWfpxnIeTw,145,10,0,10,0,2016-08-14T01:48:09.000Z,PT5M28S,1
Intro to Reflections from Concave Mirrors | Geometric Optics | Doc Physics,EXb9gDEYwbc,39360,264,6,19,0,2013-02-26T14:57:42.000Z,PT8M9S,27
"Formation of Shadow - Light, Shadows and Reflections - Class 6 Science (Meritnation.com)",OiR2zkDHrLU,85957,138,42,14,0,2012-04-17T12:30:03.000Z,PT2M5S,27
Azure Blue - Reflections Of Light,GpgpYsJHrx4,15,0,0,0,0,2017-12-09T08:56:27.000Z,PT2M50S,10
Azure Blue - Reflections Of Light,Br0PjBESmL0,372,5,0,0,0,2015-05-11T21:11:20.000Z,PT2M49S,10
"Reflections of light, Taking Flight http://www.elizabethreoch.com",1lGjxOQsWfg,675,2,0,0,0,2011-05-21T18:57:50.000Z,PT2M40S,27
class VI Science Light shadow and reflections  part1,V5PO4RgaxD0,3874,31,4,6,0,2016-09-21T17:25:31.000Z,PT15M44S,27
Steve and Sarah Newlin's Reflections of Light #1,BkHdgebJHbc,9489,37,2,17,0,2009-07-09T15:36:44.000Z,PT2M53S,29
